# misc 檔玩家可見 UI 標籤譯表(BILLTEXT/BILLTEX2/KENTEXT/JIMTEXT2;str_id×6 去語言交錯)。
HISTORY GRAPH	歷史曲線圖	介面
TECH REVIEW	科技總覽	介面
RACE STATISTICS	種族統計	介面
TURN SUMMARY	回合摘要	介面
REFERENCE	參考資料	介面
( E L I M I N A T E D )	(已滅亡)	介面
NO CONTACT	尚未接觸	介面
NO MESSAGES	無訊息	介面
INCOME	收入	介面
MAINTENANCE	維護費	介面
 BC INCOME	 BC 收入	介面
BUILDINGS	建築	介面
FREIGHTERS	貨運船	介面
SHIPS	艦艇	介面
SPIES	間諜	介面
TRIBUTE	進貢	介面
LEADERS	軍官	介面
Research cost: 	研究成本:	介面
Pure research	純研究	介面
 LIST	 清單	介面
BASIC	基礎	介面
BIOLOGY	生物學	介面
POWER	能源	介面
PHYSICS	物理學	介面
CONSTRUCTION	建造學	介面
FORCE FIELDS	力場學	介面
CHEMISTRY	化學	介面
COMPUTERS	電腦學	介面
SOCIOLOGY	社會學	介面
OTHER	其他	介面
Miscellaneous	雜項	介面
New Construction Types	新建造類型	介面
Spies	間諜	介面
Colony	殖民	介面
Ground Combat	地面戰鬥	介面
Ship Equipment	艦艇裝備	介面
Food	食物	介面
Pollution	污染	介面
Morale	士氣	介面
Production	生產	介面
Defense	防禦	介面
Research	研究	介面
Money	金錢	介面
Beams	光束武器	介面
Missiles/Torpedoes	飛彈/魚雷	介面
Bombs/Biological	炸彈/生化	介面
Fighters	戰機	介面
Special	特殊	介面
Shields	護盾	介面
Armor	裝甲	介面
Drives	引擎	介面
Computers	電腦	介面
Fuels/Range	燃料/航程	介面
Scanners	掃描器	介面
Offense	攻擊	介面
No Special Devices	無特殊裝置	介面
Green Crew (%d EP)	新兵艦員(%d EP)	介面
Regular Crew (%d EP)	正規艦員(%d EP)	介面
Veteran Crew (%d EP)	老兵艦員(%d EP)	介面
Elite Crew (%d EP)	精銳艦員(%d EP)	介面
Ultra Elite Crew (%d EP)	超級精銳艦員(%d EP)	介面
 the 	 	介面
Categories	分類	介面
How to?	如何?	介面
Category: 	分類:	介面
How to: 	方法:	介面
MESSAGE SUMMARY AS OF SD: \x88	訊息摘要(星曆 \x88)	介面
Net Income: \x82 BC	淨收入:\x82 BC	介面
NO ACTIVE SPIES	無活動間諜	介面
NONE	無	介面
ALLIANCES:	同盟:	介面
WARS:	戰爭:	介面
FEUD	世仇	外交
HATE	仇恨	外交
DISCORD	敵視	外交
TROUBLED	交惡	外交
TENSE	緊張	外交
RESTLESS	躁動	外交
WARY	戒備	外交
UNEASE	疑慮	外交
NEUTRAL	中立	外交
RELAXED	緩和	外交
AMIABLE	和善	外交
CALM	平和	外交
AFFABLE	親切	外交
PEACEFUL	和平	外交
FRIENDLY	友好	外交
UNITY	一心	外交
HARMONY	和睦	外交
(IGNORED)	(已忽略)	介面
^ NO CONTACT^	^ 無接觸^	介面
SPY: 	間諜:	介面
AGENT: 	探員:	介面
He will be here soon.	他很快就會到。	介面
Sorry, they've already done their turn.	抱歉,他們已結束本回合了。	介面
He is ignoring you!	他正在無視你!	介面
RESEARCH TREATY: 	研究條約:	介面
TRADE TREATY: 	貿易條約:	介面
GIVING \x82% TRIBUTE	給予 \x82% 進貢	介面
RECEIVING \x82% TRIBUTE	收取 \x82% 進貢	介面
STAR DATE	星曆	科技總覽標題
History Graph	歷史圖表	科技總覽選單
Tech Review	科技總覽	科技總覽選單
Race Statistics	種族統計	科技總覽選單
Turn Summary	回合摘要	科技總覽選單
Reference	參考資料	科技總覽選單
RETURN	返回	科技總覽按鈕
CLOSE	關閉	回合摘要
